time,x_pos,y_pos,z_pos
2449.945,-0.1188829,0.7616405,0.3568935
2463.742,-0.1198792,0.7526407,0.3544082
2477.861,-0.1194884,0.7377329,0.3518893
2491.571,-0.1197893,0.7268634,0.3495836
2505.747,-0.118894,0.7141531,0.3441967
2519.506,-0.1179234,0.7036858,0.3392394
2533.102,-0.1165299,0.6933166,0.3324976
2547.394,-0.1147837,0.684207,0.3259027
2561.512,-0.1131545,0.6774054,0.320552
2575.116,-0.1165616,0.676842,0.3180737
2589.092,-0.1175518,0.6745543,0.3150718
2603.045,-0.1177951,0.6828789,0.321988
2617.299,-0.1168466,0.6871303,0.3254425
2631.411,-0.1171084,0.6963119,0.3321883
2644.873,-0.1169972,0.7014828,0.3356603
2658.928,-0.1168193,0.7037505,0.3370631
2672.401,-0.1159861,0.7082055,0.3406139
2686.661,-0.1154741,0.710171,0.3422176
2700.403,-0.1159995,0.7136233,0.344188
2714.303,-0.116237,0.7154794,0.3452612
2728.453,-0.116363,0.716598,0.3459393
2742.343,-0.116674,0.7172869,0.3462243
2756.242,-0.1166139,0.7176837,0.3465248
2770.099,-0.1173171,0.717952,0.3465846
2784.293,-0.1176633,0.7179542,0.3465928
2797.862,-0.1175316,0.7171532,0.3462484
2811.504,-0.1173895,0.7164315,0.3459461
2825.608,-0.1172208,0.7157143,0.3456855
2839.344,-0.1171339,0.7156758,0.3450897
2853.393,-0.1166945,0.7156169,0.3444632
2867.589,-0.1144023,0.7161742,0.3442891
2881.244,-0.1118167,0.7166444,0.3440687
2895.548,-0.1093158,0.7170475,0.3438518
2909.346,-0.1048453,0.7176886,0.3445063
2923.209,-0.1008595,0.7183049,0.3450762
2937.03,-0.09448743,0.7178383,0.3472963
2951.194,-0.08923161,0.7174424,0.348939
2965.189,-0.0823258,0.718257,0.3489119
2978.801,-0.07656076,0.7188019,0.3488485
2992.816,-0.07161035,0.7191945,0.3488116
3006.698,-0.06472582,0.7217497,0.3488241
3020.617,-0.05870752,0.7233993,0.3486452
3034.886,-0.05039173,0.723325,0.3482097
3048.656,-0.04322673,0.7231234,0.3476036
3062.708,-0.03694855,0.7228774,0.3469418
3076.164,-0.02817332,0.7243226,0.3433172
3090.398,-0.02074569,0.725559,0.3407429
3104.185,-0.009949185,0.7215289,0.3421727
3118.323,-0.0009830408,0.7190436,0.3428732
3132.269,0.007505227,0.718905,0.3433406
3146.079,0.01542649,0.718736,0.3435066
3159.964,0.02284701,0.7185645,0.3435121
3174.334,0.03249949,0.7212629,0.3449076
3188.1,0.04127344,0.7229807,0.3457125
3201.809,0.05209981,0.7242799,0.34875
3215.612,0.06203412,0.7253953,0.3508754
3229.565,0.07131012,0.7263334,0.3524134
3243.521,0.08082463,0.7216831,0.3473239
3257.624,0.09030963,0.7193469,0.3441933
3271.487,0.09622443,0.7239069,0.3422056
3285.444,0.1031123,0.7269509,0.3406693
3299.267,0.108363,0.7324408,0.3426068
3313.513,0.1141516,0.7358867,0.3433196
3327.127,0.1202284,0.738354,0.3434127
3341.04,0.126453,0.7327908,0.3435451
3354.869,0.1333098,0.7288551,0.3434803
3368.932,0.1384214,0.7237575,0.3433305
3382.778,0.1440616,0.7198888,0.3430763
3396.396,0.1504032,0.7167463,0.342735
3410.473,0.1514148,0.7163574,0.3447005
3424.516,0.1536544,0.7161478,0.3462475
3438.285,0.1482548,0.717492,0.345021
3452.518,0.1448887,0.7183171,0.3440564
3466.216,0.1409263,0.7171467,0.3428034
3480.153,0.1381295,0.7163564,0.3418253
3494.144,0.1361614,0.7158632,0.3410655
3508.083,0.1340953,0.7149342,0.3402341
3521.963,0.1322422,0.7146112,0.3398145
3536.133,0.1326343,0.7151962,0.3408759
3549.646,0.1321798,0.7158686,0.341852
3563.773,0.131638,0.7165191,0.3427584
3577.678,0.131208,0.7162644,0.342914
3591.473,0.1307612,0.7160813,0.3430791
3605.189,0.1300314,0.7174036,0.3440956
3619.612,0.1294564,0.7182178,0.3447931
3633.269,0.1281279,0.7192861,0.3443766
3647.44,0.1271041,0.7201389,0.3439435
3661.244,0.1262684,0.7208683,0.3435012
3675.108,0.1254235,0.7215756,0.343316
3689.451,0.1247258,0.7221795,0.343137
3703.147,0.1238653,0.7216438,0.3427634
3717.03,0.1232985,0.7213319,0.3425817
3731.145,0.1234722,0.7210008,0.3422697
3744.72,0.1236419,0.720671,0.3418837
3758.924,0.1238225,0.7203321,0.3414365
3772.565,0.1230597,0.7205907,0.3412133
3786.631,0.1225696,0.7205797,0.3408423
3800.482,0.1212648,0.7221629,0.3409636
3813.923,0.1202143,0.7231807,0.3407847
3828.197,0.1193633,0.7238092,0.3404219
3842.343,0.1186081,0.7240416,0.3406451
3856.089,0.1179038,0.7242396,0.3408054
3870.06,0.1158079,0.7252354,0.3403528
3883.821,0.1135748,0.7263418,0.3397955
3897.755,0.1101283,0.7240871,0.3364793
3911.7,0.1071462,0.7231063,0.3339185
3925.882,0.104459,0.7226245,0.3317571
3939.598,0.1022262,0.7186653,0.3290566
3953.533,0.09996773,0.7158757,0.3268722
3967.634,0.09373011,0.7170319,0.3244693
3981.47,0.08811591,0.7175578,0.3219361
3995.112,0.08322447,0.7176974,0.3195041
4009.376,0.07465854,0.7226361,0.3158931
4023.104,0.06760515,0.7257971,0.3124559
4037.115,0.06275243,0.723898,0.3041183
4051.249,0.05811106,0.7230369,0.2977692
4065.226,0.05461372,0.7212604,0.293263
4078.931,0.05091716,0.7203,0.289364
4092.789,0.0471837,0.7198051,0.2858897
4106.328,0.04183166,0.7160581,0.28371
4120.62,0.03701514,0.7139944,0.2817826
4134.638,0.02877612,0.7146709,0.2781817
4148.663,0.02276066,0.7146144,0.27473
4162.979,0.01768479,0.7143382,0.2714727
4176.363,0.01077845,0.718646,0.2625403
4190.378,0.004787151,0.7217684,0.2553878
4204.384,0.001279682,0.7223645,0.2530835
4218.19,-0.002851699,0.7227712,0.2501289
4231.984,-0.009605307,0.7215578,0.2459602
4245.97,-0.0158895,0.7209007,0.2418535
4259.827,-0.02208309,0.7205155,0.2376171
4274.139,-0.02959108,0.7206032,0.2349131
4287.7,-0.03645051,0.7204859,0.2317033
4301.667,-0.0414848,0.7191578,0.2275366
4315.693,-0.04725624,0.7181537,0.2231234
4329.389,-0.05308893,0.7173375,0.2187434
4343.674,-0.05775609,0.7209892,0.210617
4357.716,-0.06257182,0.7237083,0.2039627
4371.485,-0.06606188,0.7244211,0.2005929
4385.371,-0.06979587,0.7249511,0.19697
4399.249,-0.07467238,0.7244372,0.193997
4413.148,-0.07922609,0.7239169,0.19056
4426.984,-0.08361474,0.7233664,0.1867937
4441.146,-0.0882462,0.7244589,0.1826263
4455.214,-0.09287131,0.7250429,0.1781899
4468.869,-0.09570293,0.7303405,0.1751322
4482.637,-0.09966919,0.7340225,0.1711135
4496.487,-0.1042187,0.7367257,0.1666502
4510.475,-0.1074988,0.734413,0.1625491
4524.428,-0.1111517,0.7332078,0.1585148
4538.326,-0.1147926,0.7294939,0.1538629
4551.973,-0.1183985,0.7271,0.1495826
4566.124,-0.1204214,0.7232841,0.1459343
4580.072,-0.1229014,0.7207292,0.1425254
4593.792,-0.1257214,0.7188334,0.1391141
4607.868,-0.1299438,0.7208834,0.1354305
4622.015,-0.1338435,0.7217464,0.1310453
4635.857,-0.1374126,0.7235124,0.1266018
4649.828,-0.1410696,0.7250156,0.1223703
4664.013,-0.1449786,0.7225342,0.1194062
4678.426,-0.1486861,0.720812,0.1164722
4691.719,-0.1523166,0.7195078,0.1134744
4705.681,-0.1561559,0.7244737,0.1122648
4719.565,-0.159935,0.7276672,0.109817
4733.237,-0.1615324,0.7284297,0.1079401
4747.515,-0.1635833,0.7290397,0.1057098
4761.039,-0.1659437,0.7295972,0.1032464
4775.109,-0.1642187,0.7279017,0.1030904
4788.886,-0.1637072,0.7268044,0.1023877
4803.037,-0.1613277,0.7259906,0.1036342
4816.823,-0.1599628,0.7255489,0.1043607
4830.791,-0.1583719,0.7267227,0.106414
4844.552,-0.1574656,0.7277823,0.1078728
4859.091,-0.1569483,0.728758,0.1089595
4872.95,-0.1554598,0.7291622,0.1101501
4886.452,-0.1542861,0.7295589,0.111079
4900.556,-0.153443,0.7304112,0.1125473
4914.396,-0.1526652,0.7312444,0.1140043
4928.15,-0.1519752,0.7320593,0.1153887
4942.259,-0.1509793,0.7317647,0.1159295
4956.039,-0.1501949,0.7316936,0.1164521
4969.875,-0.1495328,0.7307982,0.1164153
4983.906,-0.1488431,0.7301445,0.1165156
4997.815,-0.1497863,0.7298137,0.1155053
5011.814,-0.1502603,0.7295617,0.114824
5025.919,-0.1504508,0.7293639,0.1143534
5039.888,-0.1508124,0.728458,0.1137292
5053.882,-0.1508281,0.7277153,0.1134868
5067.621,-0.1513954,0.7272835,0.1127412
5081.355,-0.1512135,0.7270697,0.1126215
5095.442,-0.1507527,0.726952,0.1127489
5109.5,-0.1501127,0.7266982,0.1126399
5123.489,-0.1494299,0.7264291,0.1125336
5137.135,-0.1474368,0.7258096,0.1127498
5151.107,-0.1456649,0.7252414,0.1128928
5165.331,-0.1440349,0.7250903,0.1128933
5179.026,-0.1426699,0.7249318,0.1128054
5193.247,-0.1414333,0.7247921,0.1127135
5206.774,-0.1388829,0.7253404,0.1124257
5220.535,-0.1365315,0.7258103,0.1120933
5234.627,-0.1346591,0.7260997,0.1109259
5248.611,-0.1328836,0.7263808,0.1098623
5262.432,-0.1312082,0.7266388,0.1088863
5276.336,-0.1289257,0.7263515,0.1090127
5290.579,-0.1267955,0.7261081,0.109056
5304.358,-0.1228923,0.7268536,0.1093839
5318.214,-0.1191919,0.7273477,0.1095038
5331.993,-0.1158337,0.7276547,0.1094839
5346.527,-0.1096952,0.7262632,0.1096878
5360.077,-0.1046137,0.7253417,0.1097513
5373.604,-0.09852783,0.7224388,0.1090722
5387.669,-0.09325001,0.7203608,0.1086105
5401.69,-0.08723531,0.72,0.1085103
5415.76,-0.08197573,0.7195114,0.1082839
5429.656,-0.0772451,0.7189816,0.10802
5443.457,-0.07236932,0.7200086,0.1075639
5457.42,-0.06775926,0.7206667,0.1071802
5471.07,-0.06280371,0.720352,0.1074952
5484.862,-0.05813829,0.7200586,0.1076545
5498.956,-0.05135179,0.7200614,0.1087462
5512.771,-0.04538243,0.7201153,0.1094514
5526.73,-0.03996587,0.7201748,0.1099236
5540.901,-0.03544325,0.7212031,0.109934
5554.755,-0.03085623,0.7220711,0.1100262
5568.846,-0.0256787,0.7206722,0.1095024
5583.019,-0.02045388,0.7198245,0.1092821
5596.607,-0.0152853,0.7192569,0.1091979
5610.357,-0.01035615,0.7194632,0.1102295
5624.515,-0.005221818,0.7193881,0.1109319
5638.732,0.002980459,0.7190272,0.1109056
5652.028,0.00989937,0.7186728,0.1106095
5665.937,0.01924629,0.7180806,0.1118682
5680.325,0.02699395,0.7172474,0.1121966
5693.773,0.0338813,0.7163386,0.1120894
5707.972,0.03884324,0.7174484,0.1115151
5721.923,0.04461655,0.7180647,0.1111444
5735.814,0.05029849,0.7194906,0.1115064
5749.656,0.05621263,0.7205079,0.1118139
5763.648,0.0622722,0.7213863,0.1122066
5777.344,0.06913493,0.7233838,0.1132322
5791.453,0.07564572,0.7250266,0.1140136
5805.103,0.08333305,0.7254971,0.1136469
5819.518,0.09020349,0.7258042,0.1131197
5833.14,0.09624658,0.727215,0.1131411
5847.081,0.1021664,0.7285042,0.1130978
5861.429,0.1080804,0.7296749,0.1129981
5875.245,0.1122881,0.7286618,0.1114111
5889.247,0.1168598,0.7286581,0.1105316
5902.665,0.1182647,0.7302853,0.1122462
5917.071,0.121247,0.7309253,0.1130672
5930.868,0.1251777,0.7312422,0.1135317
5944.53,0.1230345,0.7322571,0.1145119
5958.418,0.1233512,0.7324193,0.1148811
5973.066,0.1193508,0.7322068,0.1137276
5986.618,0.117662,0.7320746,0.1127927
6000.712,0.1146334,0.7286131,0.1101742
6014.497,0.1127148,0.7264732,0.1084298
6028.839,0.1116089,0.7252494,0.1073345
6042.574,0.1091946,0.7233282,0.106008
6056.21,0.1077236,0.7223872,0.1054346
6070.014,0.1066391,0.7227982,0.1059587
6083.805,0.1057794,0.7229713,0.1062919
6097.777,0.1062055,0.7244894,0.1077656
6111.889,0.1066542,0.7257607,0.108998
6125.743,0.1070635,0.7266651,0.1099328
6139.647,0.1069956,0.732859,0.1137154
6153.554,0.1075485,0.7363332,0.1157426
6167.256,0.1095053,0.7485926,0.1210971
6181.65,0.1121847,0.7567524,0.1236665
6195.4,0.1149313,0.7655241,0.126227
